2026-04-26 15:50:10,809 | INFO     | dfir.llm | Ollama: model 'phi3:mini' ready
2026-04-26 15:50:31,168 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SYSTEM (30,146,560 bytes)
2026-04-26 15:50:32,267 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SOFTWARE (72,876,032 bytes)
2026-04-26 15:50:32,575 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SAM (131,072 bytes)
2026-04-26 15:50:32,594 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SECURITY (65,536 bytes)
2026-04-26 15:50:32,622 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: DEFAULT (524,288 bytes)
2026-04-26 15:50:32,665 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: Amcache.hve (2,097,152 bytes)
2026-04-26 15:50:32,702 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: NTUSER.DAT (262,144 bytes)
2026-04-26 15:50:32,740 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: NTUSER.DAT (1,572,864 bytes)
2026-04-26 15:50:33,343 | INFO     | registry_agent_v7 |     Parsing AMCACHE -> AMCACHE.jsonl (JSONL)...
2026-04-26 15:50:33,895 | INFO     | registry_agent_v7 |     Done: AMCACHE: 1,141 keys, 21,277 values, 3.45 MB, 0.55s
2026-04-26 15:50:33,897 | INFO     | registry_agent_v7 |     Parsing DEFAULT -> DEFAULT.jsonl (JSONL)...
2026-04-26 15:50:33,981 | INFO     | registry_agent_v7 |     Done: DEFAULT: 886 keys, 2,075 values, 0.85 MB, 0.08s
2026-04-26 15:50:33,984 | INFO     | registry_agent_v7 |     Parsing NTUSER_DEFAULT -> NTUSER_DEFAULT.jsonl (JSONL)...
2026-04-26 15:50:34,028 | INFO     | registry_agent_v7 |     Done: NTUSER_DEFAULT: 592 keys, 957 values, 0.36 MB, 0.04s
2026-04-26 15:50:34,030 | INFO     | registry_agent_v7 |     Parsing NTUSER_PATRICK -> NTUSER_PATRICK.jsonl (JSONL)...
2026-04-26 15:50:34,357 | INFO     | registry_agent_v7 |     Done: NTUSER_PATRICK: 3,649 keys, 6,340 values, 3.1 MB, 0.33s
2026-04-26 15:50:34,360 | INFO     | registry_agent_v7 |     Parsing SAM -> SAM.jsonl (JSONL)...
2026-04-26 15:50:34,368 | INFO     | registry_agent_v7 |     Done: SAM: 69 keys, 100 values, 0.14 MB, 0.01s
2026-04-26 15:50:34,370 | INFO     | registry_agent_v7 |     Parsing SECURITY -> SECURITY.jsonl (JSONL)...
2026-04-26 15:50:34,378 | INFO     | registry_agent_v7 |     Done: SECURITY: 88 keys, 86 values, 0.05 MB, 0.01s
2026-04-26 15:50:34,380 | INFO     | registry_agent_v7 |     Parsing SOFTWARE -> SOFTWARE.jsonl (JSONL)...
2026-04-26 15:50:38,277 | INFO     | registry_agent_v7 |       SOFTWARE: 50,000 keys (12830 keys/sec)
2026-04-26 15:50:41,375 | INFO     | registry_agent_v7 |       SOFTWARE: 100,000 keys (14295 keys/sec)
2026-04-26 15:50:44,829 | INFO     | registry_agent_v7 |       SOFTWARE: 150,000 keys (14355 keys/sec)
2026-04-26 15:50:49,672 | INFO     | registry_agent_v7 |       SOFTWARE: 200,000 keys (13079 keys/sec)
2026-04-26 15:50:54,539 | INFO     | registry_agent_v7 |       SOFTWARE: 250,000 keys (12402 keys/sec)
2026-04-26 15:50:55,312 | INFO     | registry_agent_v7 |     Done: SOFTWARE: 256,889 keys, 407,653 values, 154.25 MB, 20.93s
2026-04-26 15:50:55,314 | INFO     | registry_agent_v7 |     Parsing SYSTEM -> SYSTEM.jsonl (JSONL)...
2026-04-26 15:50:59,983 | INFO     | registry_agent_v7 |       SYSTEM: 50,000 keys (10709 keys/sec)
2026-04-26 15:51:04,461 | INFO     | registry_agent_v7 |     Done: SYSTEM: 99,995 keys, 170,166 values, 75.89 MB, 9.15s
2026-04-26 15:51:04,771 | INFO     | registry_agent_v7 |   ✓ HTML report written: C:\Users\sujay\Desktop\dfir-automation\test_out_fixed\parsed_artifacts\registry\forensic_registry_report.html
2026-04-26 15:51:04,894 | INFO     | dfir.orchestrator | === Pipeline complete at 2026-04-26T15:51:04 ===
2026-04-26 15:51:04,896 | INFO     | dfir.orchestrator | Agents: ['registry']
2026-04-26 15:51:04,897 | INFO     | dfir.orchestrator | Total findings: 0
2026-04-26 15:51:04,898 | INFO     | dfir.orchestrator | Final report: C:\Users\sujay\Desktop\dfir-automation\test_out_fixed\reports\final_forensic_report.html
2026-04-26 15:53:45,287 | INFO     | registry_agent_v7 |     Parsing AMCACHE -> AMCACHE.jsonl (JSONL)...
2026-04-26 15:53:45,814 | INFO     | registry_agent_v7 |     Done: AMCACHE: 1,141 keys, 21,277 values, 3.45 MB, 0.53s
2026-04-26 15:53:45,817 | INFO     | registry_agent_v7 |     Parsing DEFAULT -> DEFAULT.jsonl (JSONL)...
2026-04-26 15:53:45,927 | INFO     | registry_agent_v7 |     Done: DEFAULT: 886 keys, 2,075 values, 0.85 MB, 0.11s
2026-04-26 15:53:45,930 | INFO     | registry_agent_v7 |     Parsing NTUSER_DEFAULT -> NTUSER_DEFAULT.jsonl (JSONL)...
2026-04-26 15:53:45,983 | INFO     | registry_agent_v7 |     Done: NTUSER_DEFAULT: 592 keys, 957 values, 0.36 MB, 0.05s
2026-04-26 15:53:45,987 | INFO     | registry_agent_v7 |     Parsing NTUSER_PATRICK -> NTUSER_PATRICK.jsonl (JSONL)...
2026-04-26 15:53:46,346 | INFO     | registry_agent_v7 |     Done: NTUSER_PATRICK: 3,649 keys, 6,340 values, 3.1 MB, 0.36s
2026-04-26 15:53:46,348 | INFO     | registry_agent_v7 |     Parsing SAM -> SAM.jsonl (JSONL)...
2026-04-26 15:53:46,360 | INFO     | registry_agent_v7 |     Done: SAM: 69 keys, 100 values, 0.14 MB, 0.01s
2026-04-26 15:53:46,362 | INFO     | registry_agent_v7 |     Parsing SECURITY -> SECURITY.jsonl (JSONL)...
2026-04-26 15:53:46,374 | INFO     | registry_agent_v7 |     Done: SECURITY: 88 keys, 86 values, 0.05 MB, 0.01s
2026-04-26 15:53:46,378 | INFO     | registry_agent_v7 |     Parsing SOFTWARE -> SOFTWARE.jsonl (JSONL)...
2026-04-26 15:53:50,429 | INFO     | registry_agent_v7 |       SOFTWARE: 50,000 keys (12344 keys/sec)
2026-04-26 15:53:53,838 | INFO     | registry_agent_v7 |       SOFTWARE: 100,000 keys (13405 keys/sec)
2026-04-26 15:53:57,603 | INFO     | registry_agent_v7 |       SOFTWARE: 150,000 keys (13364 keys/sec)
2026-04-26 15:54:01,868 | INFO     | registry_agent_v7 |       SOFTWARE: 200,000 keys (12912 keys/sec)
